word,sentence1,sentence2,label
advertir,Martin Juergens já advertiu Hope do abuso cometido e das sanções legais em que incorre se [...].,"Na véspera, Hassan II advertira os manifestantes de que não consentiria nenhuma contestação [...].",1
murmurar,Esequel Banda ainda murmurou qualquer coisa à sua mulher [...].,"É como se esta loucura nunca tivesse fim, um dia, murmura.",1
ensinar,"A professora pegava na mão de cada aluno e ensinava a ""desenhar"" a letra.",[...] a Universidade de Calecute ensinou que a frota de Vasco da Gama [...].,0
matar,[...] 70 por cento dos jovens [...] também estão contra os que se matam a trabalhar.,"No ataque de ontem, quatro guerrilheiros e um civil libaneses foram mortos.",0
lisonjear,"Não sei quem teve de lisonjear primeiro o outro, embora suspeite de tudo, menos de um acaso .","O facto de ela ""estar apaixonada"" por mim, excita e lisonjeia.",1
atrasar,Três das coristas estão atrasadas [...].,Se a central de digestão anaeróbia se atrasar [...].,0
autografar,[...] muita gente pedia a Freitas que autografasse autocolantes do CDS.,Só que também este estava autografado pelo autarca de Matosinhos.,1
recriar,"Assim, resolveu recriar Sevilha em azulejos [...].",Estava recriado um cenário intensamente vivido [...].,1
sufragar,O Senhor Primeiro-Ministro diz-nos que o povo sufragou o seu programa.,"Ontem, ninguém contestou a decisão e ela foi sufragada por unanimidade.",1
desconhecer,Quem escreveu estas linhas obviamente desconhece o facto de que o C D32 é a única consola [...].,[...] um dos proprietários [...] desconhecia se o seguro cobria a totalidade dos prejuízos.,1
optar,Os investidores [mostraram interesse] optando pela aquisição de valores baixos [...].,Santana optou por desdenhar o apoio dos grandes do PSD [...].,1
colher,"O doente é um bebé de oito meses, cujas células vão ser colhidas [...].",A maior parte da cereja do concelho do Fundão [...] já está colhida.,1
jogar,"Jogar às cartas não é crime, mas a dinheiro já é.",[...] ameaçaram também jogar com a cotação do dólar face ao iene [...].,1
arredar,"[...] a alusão à reintegração dos profissionais ""que ditatorialmente foram arredados"" [...].",O seu nome não está arredado dos cenários traçados para as presidenciais.,1
esconder,Não esconde aos repórteres a sua preocupação.,"[...] José Martins [...] não esconde que este é um ""óptimo sistema"" [...].",1
avançar,[...] uma vizinha avançou-lhe que talvez tivesse saído.,Se bem compreendo a empresa avançou dinheiro para cobrir as despesas correntes.,0
comunicar,Os representantes da CNN [...] comunicaram a composição do comboio [...].,"[...] qualquer alteração da situação actual, comunicou o Ministério.",1
chave,A chave do carro está perdida.,Encontrei a chave no bolso.,1
enxotar,Alguns pensam que as autoridades vão enxotar as moscas e deixar os tigres em paz.,[...] essas pessoas foram enxotadas para o balcão superior.,1
inscrever,[...] os deputados municipais inscrevessem no primeiro quadradinho a letra atribuída [...].,"A frase, de 1928, está inscrita na estátua [...].",1
dicionarizar,Seu trabalho é [...] dicionarizar aquelas [palavras] que de fato configuram neologismos.,"A palavra pode não estar dicionarizada, mas está bem formada.",1
enquadrar,"[...] a DGCI deveria ser enquadrada sob o perfil jurídico de ""instituto"" [...].","[...] o projecto prossegue, passando a ficar enquadrado no âmbito do programa [...].",1
rejeitar,[...] rejeitam estar a pressionar as partes em conflito .,[...] um parecer que apenas foi rejeitado pelo PCP [...].,0
ganhar,"Nessa altura, cheguei a ganhar mais de 600 contos por mês.",Tem ainda um longo caminho a percorrer antes de [...] anular a vantagem que Clinton lhe ganhou.,0
referir,"Também em 20/4/94, o Público se referia às trapalhadas do subsídio ao lisboeta Teatro da Graça.","Embora reconheça que existam [...], refere um comunicado do sindicato.",0
dirigir,[...] disse-nos o homem que dirige o departamento de futebol portista.,"[...] devido ""às cenas gratuitas de sexo do filme"" que foi dirigido por Jennyfer Lynch.",0
intensificar,"Além disso, Naïm está a intensificar a sua preparação com vista a Barcelona.","O terceiro ponto envolve acções policiais, que serão intensificadas [...].",1
jurar,"Desculpa não ter ido à festa, mas juro que te liguei do Algarve no dia dos teus anos.",[...] ouviu o ministro sul-africano dizer que Savimbi lhe jurou que não se renderá [...].,1
secundar,Doug Christie secundou o ex-jugoslavo [...].,"Outro ministro, Mira Amaral, da Indústria, secunda as críticas de Valente de Oliveira.",1
politizar,Os jovens albaneses estão politizados.,"Ou seja, o presidente do conselho de administração não quis politizar a questão.",0
plagiar,[...] Greim plagiou o estudo [...].,[...] a definição é plagiada [...].,1
evocar,[...] foi evocada a possibilidade de utilização [...] dos meios militares da Nato.,O nome do ministro tinha sido recentemente evocado [...].,1
chumbar,"Na melhor das hipóteses, o povo [...] chumba o processo.",Projecto lei do PCP sobre as dispensas dos pais foi chumbado.,1
reverter,Seriam as receitas daquela empresa que reverteriam para o pagamento do débito ao fisco.,[...] uma parte das receitas reverterá em favor de organizações [...].,1
influenciar,Os vice-ministros [...] não têm força suficiente para influenciar o curso dos acontecimentos.,Mas nem só com factores externos foi influenciada esta bolsa.,1
confundir,[...] as pessoas já se confundiam com tantos toques [...].,[...] a maioria do público [...] não pode ser confundida com meia dúzia de indíviduos [...].,0
esconder,[...] que a informação relativa aos ovnis tenha sido escondida [...].,[...] não lhe escondo que não foi a única vez que engoli em seco.,1
cozer,[...] um ovo que avisa quando está cozido.,Arroz doce que não cozeu o sufciente.,1
virar,"Eram perto de 16h00, quando uma carrinha se virou à entrada do túnel [...].",[...] começou a sua carreira como engenheiro [...] antes de se virar para a banda desenhada [...].,0
lutar,[...] Santana Lopes e Gaspar Ramos lutam contra Pinto da Costa [...].,"Lutavam contra a injustiça social, alinhando afinal pelo emergente fascismo, anunciando [...].",1
lembrar,"Mas não apenas esses, lembrava ele no princípio do Verão [...].",[...] alguém lembrava o facto de Max Planck ter tentado estudar Economia.,1
sugerir,Foi-lhe sugerido que ainda não tinha a sua carreira universitária completa [...].,Os dois levaram a missão de sugerir a Ieltsin uma forma para pôr fim à crise.,0
atrasar,[...] as obras estão atrasadas [...].,A hora mudou para o chamado horário de Inverno e o relógio atrasou uma hora.,0
governar,[...] perante equipas que se governam com 200 mil contos.,[...] Gerhard Schröder [...] durante 14 anos governou a Baixa-Saxónia.,0
farejar,"Eu apalpava, farejava e agarrava-me à vida, pois o momento da verdade estava iminente.",[...] um ovo fecundado de tubarão [...] foi farejado por um cão.,1
referir,"Não vejo grande interesse, a situação é a que eu lhe referi.",No texto é ainda referido o facto de [...] a espera [...] ser muito incómoda [...].,1
cumular,Enquanto gente rica e famosa cumula de mensagens de apreço a lendária figura do ballet [...].,"Ao longo do século que agora se perfaz, foi cumulado de generosas mas díspares doações.",1
aliciar,[...] os dois indivíduos aliciavam pessoas de baixa condição económica [...].,[...] cidadãs estrangeiras que são aliciadas para se dedicar à prostituição.,1
escrever,É esta em que escrevo a sétima e última noite do meu cerco [...].,Deve ter sido por isso que Bruce Chatwin escreveu sobre ele [...].,0
ambicionar,Os dois empreendimentos são ambicionados pelos autarcas lousadenses há já alguns anos [...].,"Primeiro porque gosta de carros, depois porque ambicionava montar um negócio próprio [...].",1
reclamar,"À distância, no terreno, mas juntos na televisão, reclamaram contra a desertificação .",[...] a recuperação dos muros tem sido reclamada em diversas assembleias municipais [...].,0
cheirar,Cheira-me que ter ido para além da dívida também foi ideia dele.,"Abandonados à sua sorte, os meninos mendigam e roubam para cheirar cola.",0
falar,"Se não houver festas, morre-se por aqui, fala um português [...].",Quisemos falar com Margarida Reis sobre a sua mudança de estação.,0
arrolar,"Os ministros Arlindo Cunha, Eduardo Catroga e Mira Amaral foram arrolados como testemunhas [...].",[...] como explicar a compra de tantos bens como os que estão arrolados no processo [...].,1
selar,"Os caixotes do lixo, nesses locais, foram selados.",Mas esta carta vai ficar selada por tempo indeterminado [...].,1
empobrecer,"O Ocidente quer enfraquecer o senhor de Bagdad, mas até agora só empobreceu os iraquianos.",Quanto à saída das rochas ornamentais que [...] terá empobrecido o certame [...].,1
livrar,"[...] outros canais, que andavam a levar os telespectadores por caminhos de trevas [...].",[...] o facto de [...] pagar uma taxa [...] não o livrou de ter de assinar um documento [...].,1
valer,"No Grupo 4, foi dia de felicidade para a Áustria, que se valeu de um golo de Pfeifenberger [...].",[...] valendo ao Boavista o facto de Toni [...] e Marcos Severo [precisarem] de uma consulta [...].,0
sugerir,[...] o inquérito sugere a ideia de estarmos perante uma situação nova [...].,Foi-lhe sugerido que ainda não tinha a sua carreira universitária completa [...].,0
compreender,As suas filhas compreendem o que se passou em Maio 68?,Somos levados a compreender um pouco o facto de o Colectivo se ter deixado impressionar [...].,1
disponibilizar,O único que se disponibiliza a fazê-lo é o IAPMEI [...].,As ferramentas de criação estão a ser disponibilizadas no endereço Web da SGi.,0
vociferar,Mas muitos árabes israelitas têm vociferado o seu ressentimento [...].,"[...] Alberto João Jardim vociferou feérico que era preciso ""conquistar [...]"".",1
esquematizar,[...] um desdobrável [...] que é esquematizado pelo Gabinete Técnico [...].,"Em princípio, ficará totalmente esquematizado o organigrama da informação [...].",1
ameaçar,"[...] admitimos recorrer à via judicial, ameaçou Gonçalves Afonso [...].","Mais tarde, o general Pinochet ameaçou tratar de forma desigual o Presidente cubano [...].",1
contar,Os organizadores contavam com a adesão dos jovens e estudantes [...].,Podemos contar cerca de trinta rouxinóis do Parnaso na Primavera do canto.,0
publicar,[...] nunca deixou de publicar anúncios [...].,A maioria dos seus romances está publicada [...].,1
ordenar,[...] o Ministério Público [...] ordenou a transferência [...].,[...] foi ele que ordenou que a bandeira nacional fosse içada [...].,1
ajustar,Depois ajustarão os nomes e submetê-los-ão ao presidente do partido.,Na revisão [...] que nesse ano ajustou a Constituição Portuguesa ao Tratado de Maastricht [...].,0
arrancar,"O australiano arrancou mal, mas logo na quinta volta saltou para o comando [...].",[...] a menor apresentava ferimentos [...] e havia-lhe sido arrancado o segundo dente [...].,0
valer,Um anúncio que lhe valeu uma salva de palmas [...].,Negligência que [...] pode valer aos seus autores penas entre dois e sete anos de prisão.,1
arrefecer,A ausência das duas personagens em carne e osso não arrefece o entusiasmo de quem assiste [...].,O clima negocial arrefeceu [...].,1
marcar,[...] a JSD marcou um comício para a Doca de Alcântara [...].,"O senhor das ilhas marcou o terreno, foi um sucesso e ficou tudo esclarecido.",0
agradecer,"O Presidente francês, Jacques Chirac, [...] agradeceu-lhe ""por tudo o que fez"" [...] no cargo.",[...] José Hermano Saraiva [...] agradeceu o facto de Lyon de Castro o ter recebido [...].,1
bramar,[...] congressistas [...] a bramar que estavam lá dentro [...].,Na minha cidade as pessoas passam muito tempo a bramar contra as chamadas bichas.,0
instalar,Os Clinton vão ficar instalados [...] na sede da embaixada americana [...].,[...] no quartel de Ramalde estão ainda instaladas a banda [...] e a Associação [...].,1
arrancar,A acusação garante que as aplicações caíram quando Tyson arrancou os calções à jovem.,"[...] fez na ""K"" uma entrevista [...] onde lhe arrancou a confissão [...].",0
permitir,[...] é permitido que as vítimas se constituam como assistentes no processo.,É permitido aos espíritos patrióticos [...] pôr em questão se ele disse alguma coisa [...].,1
confundir,Foi sem dúvida o Oliver que te confundiu [...].,[...] as pessoas já se confundiam com tantos toques [...].,1
estimar,"Toda a gente a estimava, até a Fernanda, a mulher-polícia ruça.",[...] o homem era estimado por todos.,1
harmonizar,"Levante as duas pernas ao mesmo tempo, harmonizando os movimentos com a respiração  [...].","O som [...] da música ""techno"" [...] dificilmente se harmoniza com quaisquer intenções [...].",1
usurpar,Tudo começa com Bolingbroke a usurpar o poder a Ricardo [...].,"Involuntariamente, inventaram o ""Pimba! "", que depois lhes foi usurpado.",1
vingar,[...] conta-nos a história da sua luta para vingar o seu patrão [...].,[...] Pioline vingou da melhor maneira a derrota infligida pelo norte-americano [...].,1
dividir,Godard divide o filme em doze quadros.,E está anarquicamente divido por CCR's.,1
arreliar,"Nos últimos dias, o secretário-geral do PS [...] só tem coisas que o arreliem dentro do partido.","Quando está arreliada, deita-se num sofá [...].",1
confessar,"O móbil dos crimes, que já foram confessados, foi sempre o roubo.",Aldricht Ames [...] confessou que espiava a favor de Moscovo [...].,1
bater,Os sete primeiros bateram largamente o recorde do troço [...].,"David bateu no Golias mas, já se sabe, ao gigante custa a pôr-se de pé",0
surpreender,Fiquei completamente surpreendido.,[...] um trabalhador foi surpreendido por uma derrocada [...].,1
ensinar,"[...] não gosta de ler, porque não lhe ensinaram esse gosto [...].",A regionalização [...] foi-lhe ensinada por Sá Carneiro.,1
deter,Foram identificadas e detidas quase 5500 pessoas [...].,O intermediário [...] só se deteve próximo de um posto [...],0
deitar,"São operações muito fortes [...]: deitam um líquido, um pó e também uma pastilha [...].",[...] não poderão ser deitadas ao Tejo ou ao mar.,1
apontar,[...] o ex-governador [...] não deu explicações sobre as irregularidades que lhe são apontadas.,"Jasman [...] aponta para as montanhas e indica-me Díli, no ""lado português"".",0
arrematar,"E as respostas podem ser um pouco mais duras, camarada Presidente, arrematou Mena Abrantes.","O quadro de Claude Monet, [...] pintado em 1868, foi arrematado por 9,6 milhões de dólares [...].",1
uniformizar,Esta directriz veio desta forma uniformizar o conceito de lixo nos países da União Europeia.,[...] dizem também que eles assim ficam uniformizados [...].,1
confidenciar,[...] Faria de Oliveira confidenciava ao Público a expectativa de [...].,Contactei o irmão [...] que me confidenciou que [...] Pessoa [tencionava ir viver com ele] [...].,1
nascer,"Salman Rushdie nasceu em Bombaím, numa família muçulmana, e foi educado em Rugby e Cambridge.",O metropolitano de Lisboa nasceu numa época [...].,1
apertar,"Por exemplo, se vir aquela imagem [...] repara que o vestido está apertado [...].",Há instituições que estão muito apertadas em termos de instalações e de pessoal.,1
enrabar,"Mas, de repente, apareceu um preto e enrabou o gajo todo.","A cena emblemática de todo o filme, aquela em que Querelle é enrabado por Nono La Feria [...].",1
concatenar,O “NÚmero” anterior foi concatenado com a sigla “CL”,Toda esta atmosfera de inquietação social se concatenou com importantes transformações [...].,1
furar,"De seguida, as placas foram furadas com dois tipos de broca.",[...] uma criança 'furou' a segurança do estádio para se aproximar do seu ídolo.,0
ganhar,Os Bullets ganharam o terceiro jogo consecutivo [...].,[...] essa batalha ainda não está ganha.,1
restringir,O mesmo contrato [...] restringe a estas duas situações a sua eficácia e alcance.,O ministro diz que o financiamento programático se restringirá a uma dezena de instituições [...].,1
escutar,Logo depois de terem escutado o director da TSF [...],"Como lhe compete neste momento solene, escuta calado a longa exposição do juiz, a sua condenação.",1
escapar,A ignorância daqueles beirões sobre o referendo tem uma dignidade que escapou à jornalista.,"Nem o esplendor de ""A Love Supreme"", de John Coltrane, escapa.",0
avariar,[...]Que é quando se discute quem avariou o autoclismo ou deixou a torneira a pingar toda a noite.,[...] há cerca de duas semanas se registou um acidente que avariou a máquina XYZ [...].,1
privilegiar,A Sociedade privilegia a relação com o cliente [...].,É privilegiado o estabelecimento do contacto dos estudantes [...].,1
detetar,"No entanto, a DGT detectou agora que esse parecer não constituía legalmente a aprovação [...].",Foram detectados 350 milhões de portadores crónicos de hepatite B [...].,0
desnudar,"O espectáculo é o que é: um texto no feminino, dito por uma actriz que se vai desnudando.",[...] Justin Timberlake que inadvertidamente desnudou um dos seios de Janet [...].,1
contar,O presidente da Finangeste contava que a empresa começasse a pagar aos dois bancos [...].,[...] há ainda que contar com o facto de os alemães estarem com os olhos virados para Leste [...].,0
dar,Nem dá para continuar a pagar o seguro de poupança-reforma.,[...] Jardim Gonçalves deu por concluida a primeira fase de internacionalização [...].,0
correr,"Entre outras coisas, elas correm uma maratona por dia [...].","O resto correu bem, mas a volta já estava comprometida.",0
metralhar,"Foi a primeira vez que os israelitas metralharam alvos civis, em violação do acordo de cessar-fogo.","Contudo, a multidão que foi metralhada no cemitério de Santa Cruz era pacífica.",1
aliviar,Esta última frase aliviou o pensamento ao recém-chegado.,"Em plena luz do dia, esta senhora aliviou-se na rua.",0
matar,"James Bulger, de dois anos e meio de idade, foi morto no dia 12 de Fevereiro de 1993.",A irmã drogada está morta já no início da narração.,1
festejar,"No sábado, quem quiser festejar o São Martinho deve ir até à Rua Cândido dos Reis.","No Porto e em Braga, o São João é festejado em grande.",1
observar,"Como já foi observado, a lei eleitoral tem sido um instrumento capital deste deslize.",Milan e Valência enviaram olheiros para observarem o jovem jogador do FC Porto.,0
avançar,Se bem compreendo a empresa avançou dinheiro para cobrir as despesas correntes.,A sua editora avançou-lhe dinheiro referente ao próximo álbum.,1
regionalizar,"Afinal, parece que ambos querem [...] regionalizar o país [...].",[...] Portugal não precisa de ser regionalizado [...].,1
provar,O meu processo prova que qualquer preocupação [...] é puramente acidental.,Este ano quis provar a mim próprio que ainda era capaz de estudar e voltei.,0
colher,[...] um automóvel [...] acabou por colher mortalmente uma mulher [...].,"O doente é um bebé de oito meses, cujas células vão ser colhidas [...].",0
confrontar,"[...] pela primeira vez confrontava os pais com a sua condição ""gay"".",[...] abriu a porta [...] quando foi confrontado com um insólito episódio.,1
depositar,Relativamente à possibilidade [...] de [...] o lixo [...] ser depositado no aterro [...].,[...] esse dinheiro [...] teria sido depositado numa conta bancária privada.,1
abrir,"Em 1975, Carlos Alberto [...] abriu uma carta assinada pelo então primeiro-ministro [...].","Para piorar ainda mais o quadro, a Ziff-Davis abriu a exposição ao público em geral.",0
curtir,Curti o facto de poderes comprar um gajo com uma minigun.,Depois eles curtiram e começaram a namorar.,0
ligar,[...] o dirigente do Pp pouco ligou ao jovem candidato do seu partido [...].,O Carreras já me ligou várias vezes [...].,0
afinar,O debate começou em novembro e foi afinado entre as distritais do PS e do PSD.,Está a ouvir? Ainda não está afinado.,0
arrastar,"[...] James Byrd Jr., 49 anos, foi arrastado, com os tornozelos acorrentados ao pára-choques [...].",As bóias tinham sido arrastadas durante as cheias de Dezembro [...].,1
divergir,Durão quer acumular AR com Espírito Santo e diverge de Nogueira.,"O ex-chefe da ""secreta"" e o antigo responsável [...] divergem sobre a implicação [...].",1
pronunciar,Nenhum dos líderes [...] se tinha pronunciado sobre o facto de a escritora se ter apresentado [...].,[...] sabemos que a Junta de Castilla-Leon já se pronunciou contra o desvio [...].,1
varrer,E o ponto luminoso [...] varre primeiro [...] as linhas pares do ecrã [...].,"Em teoria, não podemos varrer o passeio em frente à junta.",0
aterrorizar,O seu espantoso salto terá aterrorizado as suas adversárias [...].,"Ao chegar à noite [...], estava já tão aterrorizado e ansioso que não conseguiu dormir.",1
betonar,[...] quando aqueles trabalhadores se preparavam para betonar as paredes [...].,Dos seis trabalhadores que se encontravam a betonar o poço [...].,1
adiantar,A Triumph adiantou-se à BMW e mostrou a sua versão “adventure” da maxitrail Tiger.,O problema está aí e não adianta fugir-lhe.,0
embrulhar,O caixão foi embrulhado na bandeira turca.,[...] os sete quilogramas de heroína ainda estavam embrulhados [...].,1
fertilizar,Um vizinho tem um galo que pode fertilizar os seus ovos.,Se um óvulo for fertilizado [...].,1
guerrear,"A universidade não é coesa, as faculdades guerreiam umas com as outras.",Como acreditar numa CEE que se guerreia entre Bruxelas e Estrasburgo [...].,1
acertar,Mais raras ainda foram as vezes em que se acertou na escolha.,[...] cujo plano já está acertado com a Câmara de Lisboa [...].,0
harmonizar,"[...] esta torna-se matéria envolvente, que se harmoniza com quem a contempla.","O som [...] da música ""techno"" [...] dificilmente se harmoniza com quaisquer intenções [...].",1
circunscrever,O ministro [...] circunscreveu as suas acções de campanha ao distrito pelo qual é candidato [...].,A presença nacional no Egipto não está apenas circunscrita à comitiva da FPA [...].,1
surpreender,O pedido de impugnação não surpreende António Oliveira.,[...] um trabalhador foi surpreendido por uma derrocada [...].,1
cantar,"Em l957, Simone cantará três canções, no cinema Império, antes do Festival da Canção.","O hino oficial, claro, foi cantado em francês [...].",1
esmaecer,"Não tanto pelo que diz, como pelo modo como o hoje se esmaece [...].",[...] a sua chama artística ainda não esmaeceu de todo.,1
acorrentar,Dois activistas da organização acorrentaram-se ao arpão do Elin Toril [...].,[...] as pessoas juntaram-se para observar o indivíduo que estava acorrentado à embaixada.,1
atiçar,Outras atiçam a fogueira do Juízo Final [...].,"O polícia atiçava o cão contra os reclusos, provocando-lhes mordeduras e ferimentos.",0
assegurar,[...] José Leão [...] teve de assegurar a acalmia [...].,[...] conforme foi assegurado pelo general Palaguna.,1
complementar,[...] é o financiamento que complementa os apoios locais [...].,[...] o rigor científico é complementado com a poética [...].,0
diferenciar,O executivo decidiu [...] diferenciar os valores por zonas.,E os acordos a celebrar serão diferenciados país a país [...].,1
confiar,E - constataram os académicos a quem a ANMP confiou o estudo.,A função [...] deverá ficar confinada à separação das facções beligerantes [...].,0
esfaquear,"Uma mulher foi esfaqueada ontem, no final da manhã.",Foi um dia negro aquele em que um grupo de crianças [...] se esfaqueou [...].,1
descer,[...] o facto de eliminar camadas de gestores [...] faz descer os preços [...].,"Voltamos, entretanto, para trás, subindo e descendo escadas pelo labirinto de ferro.",0
assegurar,"[...] o Nápoles suspenderá o processo, assegurou Frelaino.",Os especialistas da vida animal asseguram que as brincadeiras com trombas não são perigosas [...].,0
reclamar,"À distância, no terreno, mas juntos na televisão, reclamaram contra a desertificação .",[...] uma queixa da CDU que reclamou contra o facto de terem sido colados cartazes [...].,1
concordar,Verdade [...] é que a Rússia concordou fornecer urânio [...].,Concordou em conceder ao Reino Unido o direito de ficar de fora [...].,0
atenuar,[...] a aura de escândalo já se atenuou [...].,"E, de algum modo, as ""novas"" cores atenuam essa sensação contrastante.",1
